	fsa_lights_per100g	id	ingredients	instructions	nutr_per_ingredient	nutr_values_per100g	partition	quantity	title	unit	url	weight_per_ingr	category
146	"{'fat': 'orange', 'salt': 'green', 'saturates': 'orange', 'sugars': 'red'}"	00a00df947	"[{'text': 'spices, pumpkin pie spice'}, {'text': 'pears, raw'}, {'text': 'cranberries, dried, sweetened'}, {'text': 'sugars, granulated'}, {'text': 'cornstarch'}, {'text': 'cranberry juice, unsweetened'}, {'text': 'margarine, regular, 80% fat, composite, stick, without salt'}, {'text': 'sugars, powdered'}, {'text': 'cranberry juice, unsweetened'}]"	"[{'text': 'Heat oven to 425 degrees F.'}, {'text': 'Prepare piecrust according to package directions for two-crust pie using 9-inch pie pan.'}, {'text': 'In large bowl, combine pears, cranberries, 1 cup sugar, cornstarch and 3 tablespoons juice; mix lightly.'}, {'text': 'Spoon into piecrust-lined pan; dot with margarine.'}, {'text': 'Unfold second crust; using 2-inch cookie cutter, cut out desired chapes in several places.'}, {'text': 'Place crust over filling; flute.'}, {'text': 'Brush underside of 2-inch cutouts with water and place on top of crust.'}, {'text': 'Bake at 425 degrees F for 40 to 50 minutes, or until golden brown.'}, {'text': 'Cover edge of piecrust with strips of foil after 15 to 20 minutes of baking to prevent excessive browning.'}, {'text': ""To make a glaze, blend confectioners' sugar and juice in a small bowl, adding enough juice for desired consistency.""}, {'text': 'Drizzle over warm pie.'}, {'text': 'Garnish as desired.'}]"	"[{'fat': 53.580555000000004, 'nrg': 1454.32935, 'pro': 24.493968, 'sat': 27.76833525, 'sod': 221.1261, 'sug': 32.998818}, {'fat': 0.6000000000000001, 'nrg': 240.0, 'pro': 1.5, 'sat': 0.093, 'sod': 3.0, 'sug': 40.95}, {'fat': 2.2, 'nrg': 615.0, 'pro': 0.35000000000000003, 'sat': 0.17500000000000002, 'sod': 10.0, 'sug': 145.1}, {'fat': 0.0, 'nrg': 768.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 201.12000000000003}, {'fat': 0.007500000000000001, 'nrg': 61.0, 'pro': 0.04125, 'sat': 0.0015, 'sod': 1.5, 'sug': 0.0}, {'fat': 0.061875, 'nrg': 21.75, 'pro': 0.185624999999999, 'sat': 0.004687500000000001, 'sod': 0.9375, 'sug': 5.739375}, {'fat': 22.92, 'nrg': 204.0, 'pro': 0.04, 'sat': 4.314, 'sod': 0.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 145.9375, 'pro': 0.0, 'sat': 0.0, 'sod': 0.625, 'sug': 36.678125}, {'fat': 0.010312499999999999, 'nrg': 3.625, 'pro': 0.0309375, 'sat': 0.00078125, 'sod': 0.15625, 'sug': 0.9565625}]"	"{'energy': 253.8600358178545, 'fat': 5.735209240031102, 'protein': 1.9248641838613731, 'salt': 0.042870314259678, 'saturates': 2.33780980050918, 'sugars': 33.49089556376995}"	train	"[{'text': '15'}, {'text': '3'}, {'text': '1 1/4'}, {'text': '1'}, {'text': '2'}, {'text': '3'}, {'text': '2'}, {'text': '5'}, {'text': '1 1/2'}]"	Pear 'N Cranberry Pie	"[{'text': 'ounce'}, {'text': 'cup'}, {'text': 'cup'}, {'text': 'cup'}, {'text': 'tablespoon'}, {'text': 'tablespoon'}, {'text': 'tablespoon'}, {'text': 'tablespoon'}, {'text': 'teaspoon'}]"	https://recipeland.com/recipe/v/pear-n-cranberry-pie-37934	"[425.2425, 420.0, 200.0, 201.60000000000002, 16.0, 47.4375, 28.4, 37.5, 7.90625]"	DESSERT
147	"{'fat': 'orange', 'salt': 'red', 'saturates': 'green', 'sugars': 'green'}"	00a0ea8691	"[{'text': 'rice, white, long-grain, regular, unenriched, cooked without salt'}, {'text': 'pork sausage, link/patty, unprepared'}, {'text': 'celery, raw'}, {'text': 'onions, spring or scallions (includes tops and bulb), raw'}, {'text': 'peppers, sweet, green, raw'}, {'text': 'salt, table'}, {'text': 'spices, pepper, black'}, {'text': 'soup, chicken broth or bouillon, dry'}, {'text': 'nuts, pecans'}]"	"[{'text': 'In a shallow 2 qt casserole, place rice.'}, {'text': 'Set aside.'}, {'text': 'In a large skillet, over medium heat, saute sausage, stirring to crumble meat.'}, {'text': 'Drain and discard excess fat.'}, {'text': 'In the same skillet, combime celery, onions and green peppers with sausage.'}, {'text': 'Cook until vegetables are tender and onion is transparent.'}, {'text': 'Stir in salt, pepper and broth.'}, {'text': 'Increase heat to high and boil mixture 2 to 3 minutes.'}, {'text': 'Combine mixture with rice.'}, {'text': 'Cover dish with tight fitting lid or heavy duty foil.'}, {'text': 'Bake at 350 degrees until rice absorbs liquids and is tender, about1 hour and 15 minutes.'}, {'text': 'To serve, fluff rice with fork and garnish with pecan halves.'}]"	"[{'fat': 0.66, 'nrg': 307.5, 'pro': 6.375, 'sat': 0.183, 'sod': 3.0, 'sug': 0.12}, {'fat': 112.490816, 'nrg': 1306.34496, 'pro': 69.8078088, 'sat': 34.3369144, 'sod': 3352.04488, 'sug': 4.2184056}, {'fat': 0.17, 'nrg': 16.0, 'pro': 0.7000000000000001, 'sat': 0.042, 'sod': 81.0, 'sug': 1.35}, {'fat': 6.46, 'nrg': 1088.0, 'pro': 62.22, 'sat': 1.088, 'sod': 544.0, 'sug': 79.22}, {'fat': 8.5, 'nrg': 1020.0, 'pro': 43.52, 'sat': 2.924, 'sod': 136.0, 'sug': 121.72}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 27900.0, 'sug': 0.0}, {'fat': 0.98, 'nrg': 84.0, 'pro': 3.36, 'sat': 0.447999999999999, 'sod': 0.0, 'sug': 0.13999999999999901}, {'fat': 36.96, 'nrg': 660.0, 'pro': 43.56000000000001, 'sat': 9.108000000000002, 'sod': 63096.0, 'sug': 46.199999999999996}, {'fat': 941.4000000000001, 'nrg': 9036.0, 'pro': 120.0, 'sat': 80.832, 'sod': 0.0, 'sug': 51.96}]"	"{'energy': 123.63363927171838, 'fat': 10.130253218645462, 'protein': 3.196903771353982, 'salt': 2.17472686694607, 'saturates': 1.179480224244251, 'sugars': 2.788862323336679}"	train	"[{'text': '1 1/2'}, {'text': '1'}, {'text': '1'}, {'text': '34'}, {'text': '34'}, {'text': '12'}, {'text': '14'}, {'text': '2 3/4'}, {'text': '12'}]"	Sausage and Rice Bake	"[{'text': 'cup'}, {'text': 'pound'}, {'text': 'cup'}, {'text': 'cup'}, {'text': 'cup'}, {'text': 'teaspoon'}, {'text': 'teaspoon'}, {'text': 'cup'}, {'text': 'cup'}]"	http://www.food.com/recipe/sausage-and-rice-bake-387586	"[237.0, 453.592, 101.0, 3400.0, 5066.0, 72.0, 32.199999999999996, 264.0, 1308.0]"	DINNER
149	"{'fat': 'green', 'salt': 'green', 'saturates': 'green', 'sugars': 'orange'}"	00a1c1b06f	"[{'text': 'milk, fluid, 1% fat, without added vitamin a and vitamin d'}, {'text': 'vanilla extract'}, {'text': 'sugars, granulated'}, {'text': 'cocoa, dry powder, unsweetened'}, {'text': 'spices, cinnamon, ground'}, {'text': 'water, bottled, generic'}]"	"[{'text': 'Stir together coconut milk, vanilla extract, sugar, cocoa powder, and cinnamon in a large mug.'}, {'text': 'Add boiling water and stir until the sugar has dissolved.'}]"	"[{'fat': 0.44437499999999996, 'nrg': 19.125, 'pro': 1.54125, 'sat': 0.2896875, 'sod': 20.0625, 'sug': 2.379375}, {'fat': 0.0, 'nrg': 6.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 0.265}, {'fat': 0.0, 'nrg': 144.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 37.71}, {'fat': 1.104374999999999, 'nrg': 18.375, 'pro': 1.580625, 'sat': 0.650625, 'sod': 1.6875, 'sug': 0.140625}, {'fat': 0.0037499999999990002, 'nrg': 0.75, 'pro': 0.0125, 'sat': 0.001125, 'sod': 0.0, 'sug': 0.0074999999999990005}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 8.0, 'sug': 0.0}]"	"{'energy': 56.90104658631503, 'fat': 0.46926361128953004, 'protein': 0.9474062039520911, 'salt': 0.022480825178524, 'saturates': 0.284561907280764, 'sugars': 12.242415082933466}"	train	"[{'text': '3'}, {'text': '1/2'}, {'text': '3'}, {'text': '4 1/2'}, {'text': '1'}, {'text': '1'}]"	Creamy Vegan Hot Cocoa	"[{'text': 'tablespoon'}, {'text': 'teaspoon'}, {'text': 'tablespoon'}, {'text': 'teaspoon'}, {'text': 'dash'}, {'text': 'cup'}]"	http://allrecipes.com/recipe/creamy-vegan-hot-cocoa/	"[45.75, 2.1, 37.800000000000004, 8.0625, 0.325, 236.8]"	DRINK
150	"{'fat': 'red', 'salt': 'orange', 'saturates': 'red', 'sugars': 'green'}"	00a39a8659	"[{'text': 'crustaceans, shrimp, raw (not previously frozen)'}, {'text': 'shortening, vegetable, household, composite'}, {'text': 'salad dressing, italian dressing, commercial, regular'}, {'text': 'spices, coriander seed'}, {'text': 'lime juice, raw'}, {'text': 'spices, chili powder'}]"	"[{'text': 'Place shrimp and vegetables in glass baking dish.'}, {'text': 'Mix dressing, cilantro, lime peel and chili powder until well blended.'}, {'text': 'Pour over shrimp mixture.'}, {'text': 'Bake at 350F for 20 min.'}, {'text': 'or until shrimp turn pink and vegetables are crisp-tender, stirring after 10 min.'}]"	"[{'fat': 2.3133192, 'nrg': 385.5532, 'pro': 91.171992, 'sat': 0.45812792, 'sod': 539.7744799999999, 'sug': 0.0}, {'fat': 614.4000000000001, 'nrg': 5424.0, 'pro': 0.0, 'sat': 153.45600000000002, 'sod': 48.0, 'sug': 0.0}, {'fat': 37.2, 'nrg': 420.0, 'pro': 0.72, 'sat': 5.196, 'sod': 1752.0, 'sug': 18.96}, {'fat': 1.92, 'nrg': 30.0, 'pro': 1.32, 'sat': 0.108, 'sod': 6.0, 'sug': 0.0}, {'fat': 0.007083333333333001, 'nrg': 2.5, 'pro': 0.042499999999999004, 'sat': 0.0007916666666660001, 'sod': 0.208333333333333, 'sug': 0.17041666666666602}, {'fat': 0.195, 'nrg': 4.0, 'pro': 0.18, 'sat': 0.033, 'sod': 38.5, 'sug': 0.094999999999999}]"	"{'energy': 494.7045535170095, 'fat': 51.79395873970625, 'protein': 7.376647974828652, 'salt': 0.47063696552203205, 'saturates': 12.57293024193421, 'sugars': 1.517845582329528}"	val	"[{'text': '1'}, {'text': '3'}, {'text': '3/4'}, {'text': '2'}, {'text': '2'}, {'text': '1/2'}]"	Roasted Shrimp and Vegetables	"[{'text': 'pound'}, {'text': 'cup'}, {'text': 'cup'}, {'text': 'tablespoon'}, {'text': 'teaspoon'}, {'text': 'teaspoon'}]"	http://www.kraftrecipes.com/recipes/roasted-shrimp-vegetables-82771.aspx	"[453.592, 614.4000000000001, 176.39999999999998, 10.8, 10.083333333333332, 1.35]"	DINNER
152	"{'fat': 'orange', 'salt': 'green', 'saturates': 'orange', 'sugars': 'green'}"	00a63baec1	"[{'text': 'chicken, broiler or fryers, breast, skinless, boneless, meat only, raw'}, {'text': 'wheat flour, white, all-purpose, unenriched'}, {'text': 'cornmeal, degermed, unenriched, yellow'}, {'text': 'spices, paprika'}, {'text': 'salt, table'}, {'text': 'spices, pepper, black'}, {'text': 'soymilk, original and vanilla, unfortified'}, {'text': 'wheat flour, white, all-purpose, unenriched'}, {'text': 'oil, olive, salad or cooking'}, {'text': 'shortening, vegetable, household, composite'}, {'text': 'parsley, fresh'}, {'text': 'cream, whipped, cream topping, pressurized'}]"	"[{'text': 'Slice the mock chicken into small, round steaks.'}, {'text': 'Pour 1/2 cup of the flour into a shallow dish.'}, {'text': 'Pour 1/2 cup of the flour into a second shallow dish and add the cornmeal, paprika, salt, and pepper.'}, {'text': 'Pour the soy milk into a third shallow dish.'}, {'text': 'Dip the steaks into the soy milk and then into the plain flour.'}, {'text': 'Dip into the soy milk again and then into the seasoned flour and cornmeal mixture.'}, {'text': 'Add 2 tablespoons of the oil to the heated skillet and cook 3 steaks at a time.'}, {'text': 'Brown for approximately 2 minutes on each side or until thoroughly cooked.'}, {'text': 'Transfer to a serving platter.'}, {'text': 'Repeat with the remaining oil and steaks.'}, {'text': 'Add the remaining flour to the skillet and cook for 2 minutes.'}, {'text': 'Whisk in the stock and the parsley and season with the salt and pepper.'}, {'text': 'Whisk the nondairy cream into the gravy.'}, {'text': 'Remove from the heat when bubbling.'}, {'text': 'Serve with warm biscuits topped with the gravy.'}]"	"[{'fat': 10.3985966, 'nrg': 476.2715999999999, 'pro': 89.30092499999999, 'sat': 2.234507589999999, 'sod': 178.60184999999998, 'sug': 0.0}, {'fat': 1.23, 'nrg': 455.0, 'pro': 12.91, 'sat': 0.194, 'sod': 2.0, 'sug': 0.34}, {'fat': 35.75, 'nrg': 7553.0, 'pro': 145.08, 'sat': 4.484999999999999, 'sod': 143.0, 'sug': 32.89}, {'fat': 0.30000000000000004, 'nrg': 6.0, 'pro': 0.33, 'sat': 0.048999999999999, 'sod': 2.0, 'sug': 0.23999999999999902}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 2325.0, 'sug': 0.0}, {'fat': 0.07, 'nrg': 6.0, 'pro': 0.23999999999999902, 'sat': 0.032, 'sod': 0.0, 'sug': 0.01}, {'fat': 51.0, 'nrg': 1572.0, 'pro': 95.4, 'sat': 5.976, 'sod': 1488.0, 'sug': 116.39999999999999}, {'fat': 0.15375000000000003, 'nrg': 56.875, 'pro': 1.61375, 'sat': 0.02425, 'sod': 0.25, 'sug': 0.0425}, {'fat': 54.0, 'nrg': 476.0, 'pro': 0.0, 'sat': 7.456, 'sod': 0.0, 'sug': 0.0}, {'fat': 256.0, 'nrg': 2260.0, 'pro': 0.0, 'sat': 63.94, 'sod': 20.0, 'sug': 0.0}, {'fat': 0.058750000000000004, 'nrg': 2.75, 'pro': 0.2225, 'sat': 0.009875, 'sod': 4.25, 'sug': 0.06375}, {'fat': 186.62, 'nrg': 2156.0, 'pro': 26.88, 'sat': 116.18599999999999, 'sod': 70.0, 'sug': 67.2}]"	"{'energy': 225.43535589163298, 'fat': 8.939145191875024, 'protein': 5.583048210178041, 'salt': 0.15883778155974101, 'saturates': 3.010627843139137, 'sugars': 3.259773410392131}"	test	"[{'text': '14'}, {'text': '1'}, {'text': '13'}, {'text': '1'}, {'text': '1'}, {'text': '1'}, {'text': '12'}, {'text': '2'}, {'text': '4'}, {'text': '1 1/4'}, {'text': '2'}, {'text': '14'}]"	"Vegetarian ""chicken"" Fried Steak"	"[{'text': 'ounce'}, {'text': 'cup'}, {'text': 'cup'}, {'text': 'teaspoon'}, {'text': 'teaspoon'}, {'text': 'teaspoon'}, {'text': 'cup'}, {'text': 'tablespoon'}, {'text': 'tablespoon'}, {'text': 'cup'}, {'text': 'tablespoon'}, {'text': 'cup'}]"	http://www.food.com/recipe/vegetarian-chicken-fried-steak-305980	"[396.893, 125.0, 2041.0, 2.3, 6.0, 2.3, 2916.0, 15.625, 54.0, 256.0, 7.5, 840.0]"	DINNER
153	"{'fat': 'orange', 'salt': 'red', 'saturates': 'red', 'sugars': 'green'}"	00a72562fa	"[{'text': 'celery, raw'}, {'text': 'onions, raw'}, {'text': 'oil, olive, salad or cooking'}, {'text': 'wheat flour, white, all-purpose, unenriched'}, {'text': 'milk, fluid, 1% fat, without added vitamin a and vitamin d'}, {'text': 'spices, pepper, black'}, {'text': 'salt, table'}, {'text': 'cheese, parmesan, hard'}, {'text': 'beef, grass-fed, ground, raw'}, {'text': 'olives, ripe, canned (small-extra large)'}, {'text': 'delallo, italian seasoned breadcrumbs, upc: 072368104621'}, {'text': 'butter, without salt'}]"	"[{'text': 'Cook celery and onion in oil until soft.'}, {'text': 'Stir in flour.'}, {'text': 'Add milk and cook, stirring constantly, until thickened.'}, {'text': 'Remove from heat and add pepper, salt, cheese, beef, and olives.'}, {'text': 'Put into a casserole dish.'}, {'text': 'Mix bread crumbs and butter.'}, {'text': 'Sprinkle on top of casserole.'}, {'text': 'Bake at 350 degrees for 20 to 30 minutes.'}, {'text': 'Serve with buttered noodles.'}]"	"[{'fat': 0.17, 'nrg': 16.0, 'pro': 0.7000000000000001, 'sat': 0.042, 'sod': 81.0, 'sug': 1.35}, {'fat': 0.16, 'nrg': 64.0, 'pro': 1.76, 'sat': 0.067, 'sod': 6.0, 'sug': 6.78}, {'fat': 27.0, 'nrg': 238.0, 'pro': 0.0, 'sat': 3.7279999999999998, 'sod': 0.0, 'sug': 0.0}, {'fat': 0.15375000000000003, 'nrg': 56.875, 'pro': 1.61375, 'sat': 0.02425, 'sod': 0.25, 'sug': 0.0425}, {'fat': 4.74, 'nrg': 204.0, 'pro': 16.44, 'sat': 3.09, 'sod': 214.0, 'sug': 25.38}, {'fat': 0.98, 'nrg': 84.0, 'pro': 3.36, 'sat': 0.447999999999999, 'sod': 0.0, 'sug': 0.13999999999999901}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 27900.0, 'sug': 0.0}, {'fat': 883.2858580419006, 'nrg': 13282.494105893242, 'pro': 1221.9894577421783, 'sat': 561.1853759739894, 'sod': 47152.85407592101, 'sug': 26.564988211786485}, {'fat': 692.9071391999998, 'nrg': 10777.345919999998, 'pro': 1057.0507968, 'sat': 290.38959839999995, 'sod': 3701.31072, 'sug': 0.0}, {'fat': 172.8, 'nrg': 1920.0, 'pro': 13.440000000000001, 'sat': 22.848, 'sod': 11904.0, 'sug': 0.0}, {'fat': 184.0, 'nrg': 11960.0, 'pro': 460.0, 'sat': 0.0, 'sod': 33120.0, 'sug': 184.0}, {'fat': 23.04, 'nrg': 204.0, 'pro': 0.24, 'sat': 14.338, 'sod': 4.0, 'sug': 0.02}]"	"{'energy': 267.1098804228208, 'fat': 13.692083685360448, 'protein': 19.11152984840698, 'salt': 2.135191426695027, 'saturates': 6.168346128047842, 'sugars': 1.681382477818616}"	train	"[{'text': '1'}, {'text': '1'}, {'text': '2'}, {'text': '2'}, {'text': '2'}, {'text': '14'}, {'text': '12'}, {'text': '23'}, {'text': '12'}, {'text': '12'}, {'text': '23'}, {'text': '2'}]"	Chipped Beef Bake	"[{'text': 'cup'}, {'text': 'cup'}, {'text': 'tablespoon'}, {'text': 'tablespoon'}, {'text': 'cup'}, {'text': 'teaspoon'}, {'text': 'teaspoon'}, {'text': 'cup'}, {'text': 'pound'}, {'text': 'cup'}, {'text': 'cup'}, {'text': 'tablespoon'}]"	http://www.food.com/recipe/chipped-beef-bake-90583	"[101.0, 160.0, 27.0, 15.625, 488.0, 32.199999999999996, 72.0, 3420.2422322675097, 5443.103999999999, 1612.8000000000002, 3128.0, 28.4]"	DINNER
156	"{'fat': 'red', 'salt': 'orange', 'saturates': 'red', 'sugars': 'red'}"	00a8bce22c	"[{'text': 'butter, without salt'}, {'text': 'cheese, parmesan, hard'}, {'text': 'wheat flour, white, all-purpose, unenriched'}, {'text': 'apricots, dried, sulfured, uncooked'}, {'text': 'shortening confectionery, coconut (hydrogenated) and or palm kernel (hydrogenated)'}, {'text': 'nuts, walnuts, english'}]"	"[{'text': 'Cream the flour, butter, and cream cheese into a ball and chill it.'}, {'text': 'Divide dough into 4 parts.'}, {'text': 'Roll each into a rectangle.'}, {'text': 'Spread mixture of apricot preserves, shredded coconut, and chopped nuts.'}, {'text': 'Roll up as a jellyroll.'}, {'text': 'Put on ungreased cookie sheet and bake 40 minutes at 350 degrees.'}, {'text': 'cool and slice.'}]"	"[{'fat': 184.32, 'nrg': 1632.0, 'pro': 1.92, 'sat': 114.704, 'sod': 32.0, 'sug': 0.16}, {'fat': 58.58140679999999, 'nrg': 889.04032, 'pro': 81.07956999999999, 'sat': 37.2172236, 'sod': 3120.71296, 'sug': 1.814368}, {'fat': 2.7675, 'nrg': 1023.75, 'pro': 29.0475, 'sat': 0.4365, 'sod': 4.5, 'sug': 0.765}, {'fat': 2.6024841, 'nrg': 1229.80131, 'pro': 17.298864899999998, 'sat': 0.08674947000000001, 'sod': 51.0291, 'sug': 272.6995104}, {'fat': 204.8, 'nrg': 1808.0, 'pro': 0.0, 'sat': 186.976, 'sod': 0.0, 'sug': 0.0}, {'fat': 76.3, 'nrg': 765.0, 'pro': 17.82, 'sat': 7.167, 'sod': 2.0, 'sug': 3.05}]"	"{'energy': 468.79462617165296, 'fat': 33.77521177002776, 'protein': 9.389552782841212, 'salt': 0.512053575587126, 'saturates': 22.113143061766547, 'sugars': 17.768283298358938}"	val	"[{'text': '1'}, {'text': '8'}, {'text': '2 1/4'}, {'text': '18'}, {'text': '1'}, {'text': '1'}]"	Apricot Strudel	"[{'text': 'cup'}, {'text': 'ounce'}, {'text': 'cup'}, {'text': 'ounce'}, {'text': 'cup'}, {'text': 'cup'}]"	http://www.food.com/recipe/apricot-strudel-253847	"[227.2, 226.796, 281.25, 510.291, 204.8, 117.0]"	BREAKFAST
159	"{'fat': 'orange', 'salt': 'green', 'saturates': 'orange', 'sugars': 'green'}"	00b05d49ca	"[{'text': 'potatoes, raw, skin'}, {'text': 'butter, without salt'}]"	"[{'text': 'Boil potatoes.'}, {'text': 'Mash potatoes.'}, {'text': 'Mix in melted butter.'}, {'text': 'Enjoy.'}]"	"[{'fat': 0.453592, 'nrg': 263.08335999999997, 'pro': 11.657314399999999, 'sat': 0.11793391999999901, 'sod': 45.3592, 'sug': 0.0}, {'fat': 23.04, 'nrg': 204.0, 'pro': 0.24, 'sat': 14.338, 'sod': 4.0, 'sug': 0.02}]"	"{'energy': 96.90686982356553, 'fat': 4.87427011236701, 'protein': 2.46836345831466, 'salt': 0.025601669737257002, 'saturates': 2.999206194293681, 'sugars': 0.0041494464638410005}"	train	"[{'text': '1'}, {'text': '2'}]"	Buttered Potatoes	"[{'text': 'pound'}, {'text': 'tablespoon'}]"	http://www.food.com/recipe/buttered-potatoes-265965	"[453.592, 28.4]"	DINNER
160	"{'fat': 'orange', 'salt': 'red', 'saturates': 'orange', 'sugars': 'red'}"	00b139982f	"[{'text': 'milk, fluid, 1% fat, without added vitamin a and vitamin d'}, {'text': 'sugars, granulated'}, {'text': 'cocoa, dry powder, unsweetened'}, {'text': 'spartan, real semi-sweet chocolate baking chips, upc: 011213162966'}, {'text': 'salt, table'}]"	"[{'text': 'Combine ingredients in large bowl.'}, {'text': 'Working in two batches, pulse ingredients in food processor until chocolate is finely ground.'}, {'text': 'Store in airtight container for up to 3 months.'}, {'text': 'Too make hot cocoa, stir 1/3 cup of the mix into 1 cup of hot (not boiling) milk.'}, {'text': 'Top with whipped cream or mini marshmallows and a little chocolate powder.'}, {'text': 'I sometimes use cinnamon or nutmeg powder, instead.'}, {'text': 'A little brandy and a crackling fire make for a real treat!'}]"	"[{'fat': 7.11, 'nrg': 306.0, 'pro': 24.660000000000004, 'sat': 4.635, 'sod': 321.0, 'sug': 38.07}, {'fat': 0.0, 'nrg': 1536.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 402.24000000000007}, {'fat': 17.669999999999998, 'nrg': 294.0, 'pro': 25.29, 'sat': 10.41, 'sod': 27.0, 'sug': 2.25}, {'fat': 70.00874999999999, 'nrg': 1225.875, 'pro': 17.50875, 'sat': 43.758750000000006, 'sod': 0.0, 'sug': 139.99125}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 32549.999999999996, 'sug': 0.0}]"	"{'energy': 208.72136338238033, 'fat': 5.884941329856583, 'protein': 4.18816353138387, 'salt': 5.106165021419257, 'saturates': 3.650819519463587, 'sugars': 36.16758241758242}"	val	"[{'text': '3'}, {'text': '2'}, {'text': '1 1/2'}, {'text': '1 1/2'}, {'text': '14'}]"	Best Ever Hot Cocoa Mix	"[{'text': 'cup'}, {'text': 'cup'}, {'text': 'cup'}, {'text': 'cup'}, {'text': 'teaspoon'}]"	http://www.food.com/recipe/best-ever-hot-cocoa-mix-254930	"[732.0, 403.20000000000005, 129.0, 262.5, 83.99999999999999]"	DRINK
163	"{'fat': 'red', 'salt': 'green', 'saturates': 'red', 'sugars': 'green'}"	00b755f810	"[{'text': 'potatoes, raw, skin'}, {'text': 'chicken, broiler or fryers, breast, skinless, boneless, meat only, raw'}, {'text': 'soup, cream of chicken, canned, condensed'}, {'text': 'shortening, vegetable, household, composite'}]"	"[{'text': 'Cook potatoes until tender.'}, {'text': 'Drain and mash.'}, {'text': 'If desired, whip with butter and milk.'}, {'text': 'Spread about half the potatoes in a round 2 litre casserole.'}, {'text': 'Mix chicken, soup and vegetables.'}, {'text': 'Spread over potato layer.'}, {'text': 'Top with remaining potatoes.'}, {'text': 'Bake at 350 until heated through, about 30 minutes.'}, {'text': 'We like all things cheesy, so I usually put one cup grated cheese on top of the chicken layer, before the top layer of potatoes.'}, {'text': 'You can substitute an equal amount of chicken gravy for the soup.'}, {'text': 'This reheats very well in the microwave.'}, {'text': 'In fact, sometimes I assemble it and put it in the fridge for the next night.'}, {'text': ""Then I don't bother putting it in the oven at all, I just scoop out bowls full and zap them.""}]"	"[{'fat': 0.907184, 'nrg': 526.1667199999999, 'pro': 23.314628799999998, 'sat': 0.23586783999999902, 'sod': 90.7184, 'sug': 0.0}, {'fat': 11.004000000000001, 'nrg': 504.0, 'pro': 94.5, 'sat': 2.3646000000000003, 'sod': 189.0, 'sug': 0.0}, {'fat': 16.3576615, 'nrg': 255.1455, 'pro': 6.747180999999999, 'sat': 4.81091015, 'sod': 1990.1349, 'sug': 1.5308730000000002}, {'fat': 409.6, 'nrg': 3616.0, 'pro': 0.0, 'sat': 102.304, 'sod': 32.0, 'sug': 0.0}]"	"{'energy': 242.6057103994052, 'fat': 21.67368197659828, 'protein': 6.165574645878118, 'salt': 0.28484349191374003, 'saturates': 5.430704273518657, 'sugars': 0.07577532608119901}"	train	"[{'text': '2'}, {'text': '3'}, {'text': '10'}, {'text': '2'}]"	Chicken Shepherd's Pie	"[{'text': 'pound'}, {'text': 'cup'}, {'text': 'ounce'}, {'text': 'cup'}]"	http://www.food.com/recipe/chicken-shepherds-pie-152682	"[907.184, 420.0, 283.495, 409.6]"	DINNER
